zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Leintz Gatzaga	66.25	80.54	100	gipuzkoa	240	c. Menos de 5.001
Lemoa	40.29	68.97	81.8	bizkaia	3562	c. Menos de 5.001
Lemoiz	38.27	70.55	100	bizkaia	1262	c. Menos de 5.001
Leza	9.09	32.89	0	araba	209	c. Menos de 5.001
Lezama	46.82	72.77	80	bizkaia	2373	c. Menos de 5.001
Lizartza	74.81	90.85	100	gipuzkoa	643	c. Menos de 5.001
Loiu	29.49	61.35	71.4	bizkaia	2279	c. Menos de 5.001
Mallabia	56.08	77.2	100	bizkaia	1168	c. Menos de 5.001
Mañaria	66.92	92.17	100	bizkaia	520	c. Menos de 5.001
Markina-Xemein	70.71	87.72	85.7	bizkaia	4900	c. Menos de 5.001
Maruri-Jatabe	45.81	73.8	100	bizkaia	954	c. Menos de 5.001
Mendaro	55.25	76.13	90	gipuzkoa	2020	c. Menos de 5.001
Mendata	71.46	90.08	100	bizkaia	403	c. Menos de 5.001
Mendexa	73.39	88.15	100	bizkaia	466	c. Menos de 5.001
Meñaka	64.2	82.99	100	bizkaia	729	c. Menos de 5.001
Moreda de Álava/Moreda Araba	4.92	26.09	50	araba	264	c. Menos de 5.001
Morga	73.05	91.36	100	bizkaia	423	c. Menos de 5.001
Mundaka	55.48	80.52	100	bizkaia	1851	c. Menos de 5.001
Munitibar-Arbatzegi Gerrikaitz	75.05	95.09	75	bizkaia	473	c. Menos de 5.001
Murueta	71.52	87.03	50	bizkaia	302	c. Menos de 5.001
Mutiloa	76.95	89.21	100	gipuzkoa	243	c. Menos de 5.001
Muxika	73.34	90.74	100	bizkaia	1429	c. Menos de 5.001
Nabarniz	79.3	92.92	100	bizkaia	256	c. Menos de 5.001
Navaridas	3.91	25.11	33.3	araba	256	c. Menos de 5.001
Okondo	12.07	40.67	44.4	araba	1160	c. Menos de 5.001
Olaberria	44.2	62.25	100	gipuzkoa	939	c. Menos de 5.001
Orendain	79.7	93.52	100	gipuzkoa	202	c. Menos de 5.001
Orexa	89.66	95.5	100	gipuzkoa	116	c. Menos de 5.001
Ormaiztegi	63.18	81.51	100	gipuzkoa	1301	c. Menos de 5.001
Orozko	41.91	70.14	83.3	bizkaia	2689	c. Menos de 5.001
Otxandio	57.08	78.14	100	bizkaia	1286	c. Menos de 5.001
Oyón-Oion	5.99	31.54	27.3	araba	3406	c. Menos de 5.001
Peñacerrada-Urizaharra	6.76	25.1	0	araba	281	c. Menos de 5.001
Plentzia	18.64	50.85	50	bizkaia	4425	c. Menos de 5.001
Ribera Baja/Erribera Beitia	5.46	34.05	0	araba	1502	c. Menos de 5.001
Samaniego	8.1	34.92	0	araba	284	c. Menos de 5.001
San Millán/Donemiliaga	9.45	31.72	50	araba	730	c. Menos de 5.001
Segura	75	87.55	100	gipuzkoa	1484	c. Menos de 5.001
Sondika	22.32	51.51	100	bizkaia	4431	c. Menos de 5.001
Sopuerta	8.63	29.89	30.8	bizkaia	2618	c. Menos de 5.001
Soraluze-Placencia de las Armas	43.86	68.09	100	gipuzkoa	3830	c. Menos de 5.001
Sukarrieta	46.11	72.87	66.7	bizkaia	360	c. Menos de 5.001
Trucios-Turtzioz	5.83	25.7	0	bizkaia	515	c. Menos de 5.001
Ubide	50	74.67	100	bizkaia	176	c. Menos de 5.001
Ugao-Miraballes	22.16	48.82	68.2	bizkaia	4084	c. Menos de 5.001
Urduliz	28.17	56.92	72.2	bizkaia	4210	c. Menos de 5.001
Urduña/Orduña	9.12	35.57	77.8	bizkaia	4113	c. Menos de 5.001
Urkabustaiz	14.74	40.94	40	araba	1364	c. Menos de 5.001
Valdegovía/Gaubea	5.87	25.57	25	araba	1039	c. Menos de 5.001
Villabuena de Álava/Eskuernaga	6.25	27.6	0	araba	304	c. Menos de 5.001
Yécora/Iekora	2.59	24.75	25	araba	270	c. Menos de 5.001
Zaldibar	35.13	59.14	85.7	bizkaia	3060	c. Menos de 5.001
Zaldibia	74.02	88.84	100	gipuzkoa	1582	c. Menos de 5.001
Zalduondo	25.25	43.15	50	araba	202	c. Menos de 5.001
Zambrana	3.93	21.81	33.3	araba	407	c. Menos de 5.001
Zamudio	32.63	59.56	78.3	bizkaia	3144	c. Menos de 5.001
Zaratamo	23.46	50.73	64.3	bizkaia	1628	c. Menos de 5.001
Zeanuri	68.93	86.71	100	bizkaia	1236	c. Menos de 5.001
Zeberio	55.94	81.71	100	bizkaia	1069	c. Menos de 5.001
Zegama	73.51	88.55	100	gipuzkoa	1540	c. Menos de 5.001
Zerain	89.33	94.12	100	gipuzkoa	253	c. Menos de 5.001
Zestoa	74.42	88.49	100	gipuzkoa	3730	c. Menos de 5.001
Zierbena	9.47	35	53.3	bizkaia	1499	c. Menos de 5.001
Zigoitia	14.91	40.05	62.5	araba	1798	c. Menos de 5.001
Ziortza-Bolibar	84.33	94.39	100	bizkaia	453	c. Menos de 5.001
Zizurkil	56.03	73.06	100	gipuzkoa	2927	c. Menos de 5.001
Zuia	13.76	40.11	36.4	araba	2347	c. Menos de 5.001
test	0	0	0		0	
test	100	100	100		0	
