ud_kodea,poblacion,territorio,CPRO,MUN,CMUN,TAMAÑOMUN_INE,TOTAL,LenguaHabitualEuskera,LenguaHabitualCastellano,LenguaHabitualAmbas,LenguaHabitualOtras,LengHabitual_Eus,LengHabitual_Cas,LengHabitual_Ambas,LengHabitual_Otras,LengHabitual_Euskera.Ambas,puestos_normativa_per,puestos_practica_per,PL_Acreditado,Total,Euskaldunes,Eus_Alf,Eus_ParcialAlf,Eus_NoAlf,CuasiEus,CuasiEus_Alf,CuasiEus_NoAlf,CuasiEus_Pasivos,Erdaldunes,Euskaldunes.Alfabetizados,Euskaldunes.Orales.Ágrafos,Euskaldunes.Ulermendun.Belarriprest,Erdaldunes.1,CMUN_char,CPRO_char,habitual_euskera,habitual_solo_euskera,habitual_ambas,habitual_euskera_per,tamaño
48059,520,BIZKAIA,48,Mañaria,59,521,520,285,150,63,22,"54,81","28,85","12,12","4,23","66,92",92.17,100,"75,00",504,394,331,45,18,46,34,5,7,64,65.67,12.5,9.13,12.7,059,48,348,54.81,12.12,66.92,c. Menos de 5.001
48060,4900,BIZKAIA,48,Markina-Xemein,60,5.072,4.9,2936,1170,529,265,"59,92","23,88","10,80","5,41","70,71",87.72,85.7,"86,40",4.759,3.76,3.193,451,116,370,264,49,57,629,67.09,11.91,7.77,13.22,060,48,3465,59.92,10.8,70.71,c. Menos de 5.001
48061,954,BIZKAIA,48,Maruri-Jatabe,61,992,954,240,502,197,15,"25,16","52,62","20,65","1,57","45,81",73.8,100,"83,30",932,580,494,68,18,187,135,23,29,165,53,9.23,20.06,17.7,061,48,437,25.16,20.65,45.81,c. Menos de 5.001
20901,2020,GIPUZKOA,20,Mendaro,901,1.983,2.02,795,831,321,73,"39,36","41,14","15,89","3,61","55,25",76.13,90,"90,00",1.955,1.382,1.172,151,59,231,156,27,48,342,59.95,10.74,11.82,17.49,901,20,1116,39.36,15.89,55.25,c. Menos de 5.001
48062,403,BIZKAIA,48,Mendata,62,379,403,255,104,33,11,"63,28","25,81","8,19","2,73","71,46",90.08,100,"50,00",391,328,272,45,11,39,28,5,6,24,69.57,14.32,9.97,6.14,062,48,288,63.28,8.19,71.46,c. Menos de 5.001
48063,466,BIZKAIA,48,Mendexa,63,422,466,291,120,51,4,"62,45","25,75","10,94","0,86","73,39",88.15,100,"66,70",458,376,321,46,9,49,40,5,4,33,70.09,12.01,10.7,7.21,063,48,342,62.45,10.94,73.39,c. Menos de 5.001
48064,729,BIZKAIA,48,Meñaka,64,753,729,360,251,108,10,"49,38","34,43","14,81","1,37","64,20",82.99,100,"33,30",712,547,465,61,21,77,63,3,11,88,65.31,11.52,10.81,12.36,064,48,468,49.38,14.81,64.2,c. Menos de 5.001
01039,264,ARABA,1,Moreda de Álava/Moreda Araba,39,209,264,1,238,12,13,"0,38","90,15","4,55","4,92","4,92",26.09,50,"0,00",258,40,38,1,1,42,33,2,7,176,14.73,0.78,16.28,68.22,039,01,13,0.38,4.55,4.92,c. Menos de 5.001
48066,423,BIZKAIA,48,Morga,66,408,423,278,103,31,11,"65,72","24,35","7,33","2,60","73,05",91.36,100,"80,00",417,354,305,42,7,21,18,-,3,42,73.14,11.75,5.04,10.07,066,48,309,65.72,7.33,73.05,c. Menos de 5.001
48068,1851,BIZKAIA,48,Mundaka,68,1.862,1.851,622,799,405,25,"33,60","43,17","21,88","1,35","55,48",80.52,100,"100,00",1.813,1.272,1.103,135,34,227,129,50,48,314,60.84,9.32,12.52,17.32,068,48,1027,33.6,21.88,55.48,c. Menos de 5.001
48069,17151,BIZKAIA,48,Mungia,69,17.701,17.151,3736,10209,2717,489,"21,78","59,52","15,84","2,85","37,62",66.81,100,"73,30",16.679,9.35,7.99,970,390,3.033,2.126,403,504,4.296,47.9,8.15,18.18,25.76,069,48,6453,21.78,15.84,37.62,a. Más de 10.000
48007,473,BIZKAIA,48,Munitibar-Arbatzegi Gerrikaitz,7,484,473,306,114,49,4,"64,69","24,10","10,36","0,85","75,05",95.09,75,"75,00",462,403,342,48,13,23,16,3,4,36,74.03,13.2,4.98,7.79,007,48,355,64.69,10.36,75.05,c. Menos de 5.001
48908,302,BIZKAIA,48,Murueta,908,323,302,175,82,41,4,"57,95","27,15","13,58","1,32","71,52",87.03,50,"50,00",291,247,207,30,10,18,14,2,2,26,71.13,13.75,6.19,8.93,908,48,216,57.95,13.58,71.52,c. Menos de 5.001
48071,7430,BIZKAIA,48,Muskiz,71,7.438,7.43,149,6650,511,120,"2,01","89,50","6,88","1,62","8,88",34.77,41.3,"41,20",7.249,2.204,1.894,186,124,1.614,1.179,182,253,3.431,26.13,4.28,22.27,47.33,071,48,660,2.01,6.88,8.88,b. De 5.001 a 10.000
20057,243,GIPUZKOA,20,Mutiloa,57,256,243,137,55,50,1,"56,38","22,63","20,58","0,41","76,95",89.21,100,"100,00",236,201,170,22,9,17,12,3,2,18,72.03,13.14,7.2,7.63,057,20,187,56.38,20.58,76.95,c. Menos de 5.001
20056,5357,GIPUZKOA,20,Mutriku,56,5.284,5.357,2854,1380,970,153,"53,28","25,76","18,11","2,86","71,38",88.4,79.4,"90,30",5.207,4.222,3.505,578,139,385,234,102,49,600,67.31,13.77,7.39,11.52,056,20,3824,53.28,18.11,71.38,b. De 5.001 a 10.000
48067,1429,BIZKAIA,48,Muxika,67,1.475,1.429,893,367,155,14,"62,49","25,68","10,85","0,98","73,34",90.74,100,"75,00",1.395,1.188,1.029,127,32,100,81,11,8,107,73.76,11.4,7.17,7.67,067,48,1048,62.49,10.85,73.34,c. Menos de 5.001
48909,256,BIZKAIA,48,Nabarniz,909,267,256,186,49,17,4,"72,66","19,14","6,64","1,56","79,30",92.92,100,"100,00",248,216,186,23,7,25,9,8,8,7,75,12.1,10.08,2.82,909,48,203,72.66,6.64,79.3,c. Menos de 5.001
01041,256,ARABA,1,Navaridas,41,197,256,0,210,10,36,"0,00","82,03","3,91","14,06","3,91",25.11,33.3,"33,30",252,44,39,4,1,29,22,7,-,179,15.48,1.98,11.51,71.03,041,01,10,0,3.91,3.91,c. Menos de 5.001
20063,10256,GIPUZKOA,20,Oiartzun,63,10.291,10.256,4872,3569,1656,159,"47,50","34,80","16,15","1,55","63,65",80.47,100,"89,30",9.992,7.619,6.644,767,208,1.117,729,219,169,1.256,66.49,9.76,11.18,12.57,063,20,6528,47.5,16.15,63.65,a. Más de 10.000
01042,1160,ARABA,1,Okondo,42,1.196,1.16,43,991,97,29,"3,71","85,43","8,36","2,50","12,07",40.67,44.4,"25,00",1.126,401,350,34,17,244,189,28,27,481,31.08,4.53,21.67,42.72,042,01,140,3.71,8.36,12.07,c. Menos de 5.001
20058,939,GIPUZKOA,20,Olaberria,58,938,939,291,502,124,22,"30,99","53,46","13,21","2,34","44,20",62.25,100,"71,40",924,536,470,51,15,132,80,21,31,256,50.87,7.14,14.29,27.71,058,20,415,30.99,13.21,44.2,c. Menos de 5.001
48073,8593,BIZKAIA,48,Ondarroa,73,8.326,8.593,5466,2238,600,289,"63,61","26,04","6,98","3,36","70,59",86.73,100,"96,10",8.432,6.62,5.754,724,142,765,580,96,89,1.047,68.24,10.27,9.07,12.42,073,48,6066,63.61,6.98,70.59,b. De 5.001 a 10.000
20059,11309,GIPUZKOA,20,Oñati,59,11.428,11.309,5607,3454,2003,245,"49,58","30,54","17,71","2,17","67,29",83.17,100,"88,90",10.964,8.542,7.103,1.058,381,934,585,225,124,1.488,64.78,13.12,8.52,13.57,059,20,7610,49.58,17.71,67.29,a. Más de 10.000
20076,9577,GIPUZKOA,20,Ordizia,76,10.42,9.577,2963,4649,1469,496,"30,94","48,54","15,34","5,18","46,28",68.62,93.1,"76,80",9.28,5.638,4.901,553,184,1.368,858,242,268,2.274,52.81,7.94,14.74,24.5,076,20,4432,30.94,15.34,46.28,b. De 5.001 a 10.000
20905,202,GIPUZKOA,20,Orendain,905,230,202,138,35,23,6,"68,32","17,33","11,39","2,97","79,70",93.52,100,"75,00",194,172,150,15,7,11,7,3,1,11,77.32,11.34,5.67,5.67,905,20,161,68.32,11.39,79.7,c. Menos de 5.001
20060,116,GIPUZKOA,20,Orexa,60,117,116,100,11,4,1,"86,21","9,48","3,45","0,86","89,66",95.5,100,"100,00",112,106,89,12,5,4,2,1,1,2,79.46,15.18,3.57,1.79,060,20,104,86.21,3.45,89.66,c. Menos de 5.001
20061,5916,GIPUZKOA,20,Orio,61,6.096,5.916,2913,1786,1022,195,"49,24","30,19","17,28","3,30","66,51",84.56,92.6,"61,50",5.737,4.399,3.668,537,194,526,333,125,68,812,63.94,12.74,9.17,14.15,061,20,3935,49.24,17.28,66.51,b. De 5.001 a 10.000
20062,1301,GIPUZKOA,20,Ormaiztegi,62,1.248,1.301,590,427,232,52,"45,35","32,82","17,83","4,00","63,18",81.51,100,"100,00",1.262,932,793,98,41,137,84,36,17,193,62.84,11.01,10.86,15.29,062,20,822,45.35,17.83,63.18,c. Menos de 5.001
48075,2689,BIZKAIA,48,Orozko,75,2.658,2.689,549,1502,578,60,"20,42","55,86","21,49","2,23","41,91",70.14,83.3,"50,00",2.614,1.609,1.382,159,68,436,317,53,66,569,52.87,8.68,16.68,21.77,075,48,1127,20.42,21.49,41.91,c. Menos de 5.001
48083,8359,BIZKAIA,48,Ortuella,83,8.379,8.359,153,7544,534,128,"1,83","90,25","6,39","1,53","8,22",30.75,39.1,"28,60",8.191,2.304,1.998,186,120,1.788,1.216,252,320,4.099,24.39,3.74,21.83,50.04,083,48,687,1.83,6.39,8.22,b. De 5.001 a 10.000
48072,1286,BIZKAIA,48,Otxandio,72,1.359,1.286,485,514,249,38,"37,71","39,97","19,36","2,95","57,08",78.14,100,"75,00",1.239,887,757,99,31,153,107,14,32,199,61.1,10.49,12.35,16.06,072,48,734,37.71,19.36,57.08,c. Menos de 5.001
01043,3406,ARABA,1,Oyón-Oion,43,3.418,3.406,44,2920,160,282,"1,29","85,73","4,70","8,28","5,99",31.54,27.3,"18,20",3.291,634,499,81,54,635,466,70,99,2.022,15.16,4.1,19.3,61.44,043,01,204,1.29,4.7,5.99,c. Menos de 5.001
20064,16629,GIPUZKOA,20,Pasaia,64,15.867,16.629,2099,11801,2161,568,"12,62","70,97","13,00","3,42","25,62",49.95,75,"77,40",16.235,7.008,6.053,635,320,3.298,2.007,609,682,5.929,37.28,5.88,20.31,36.52,064,20,4260,12.62,13,25.62,a. Más de 10.000
